Grade,Subject,Hours per week,Teach Work Load,Teacher,Class Teacher,Full Time,Classroom,MonStart,Mon Duration,MonEnd,TueStart,Tue Duration,TueEnd,WedStart,Wed Duration,WedEnd,ThuStart,Thu Duration,ThuEnd,FriStart,Fri Duration,FriEnd
Grade 3,Computers,1:00,0:30,Teacher L,Grade 5,No,Grade 0,,,0:00,8:30,1:00,9:30,,,0:00,,,0:00,,,0:00
Grade 3,D&T,1:00,1:00,Teacher L,Grade 5,Yes,Grade 0,,,0:00,,,0:00,,,0:00,,,0:00,7:30,1:00,8:30
Grade 3,Drumming,0:30,0:30,Teacher B,Music,Yes,Grade 3,,,0:00,13:30,0:30,14:00,,,0:00,,,0:00,,,0:00
Grade 3,English,3:00,3:00,Teacher M,Grade 3,Yes,Grade 3,10:00,1:00,11:00,,,0:00,10:00,1:00,11:00,10:00,0:30,10:30,10:00,0:30,10:30
Grade 3,English,4:00,4:00,Teacher M,Grade 3,Yes,Grade 3,12:00,2:00,14:00,,,0:00,12:00,2:00,14:00,,,0:00,,,
Grade 3,LO,2:00,1:30,Teacher M,Grade 3,Yes,Grade 3,,,0:00,12:00,1:00,13:00,,,0:00,10:30,0:30,11:00,12:00,0:30,12:30
Grade 3,LO,2:00,2:30,Teacher M,Grade 3,Yes,Grade 3,,,0:00,,,0:00,,,0:00,12:00,2:00,14:00,,,
Grade 3,Marimbas,0:30,0:30,Teacher R,Music,Yes,Grade 3,,,0:00,13:00,0:30,13:30,,,0:00,,,0:00,,,0:00
Grade 3,Maths,7:00,7:00,Teacher M,Grade 3,Yes,Grade 3,7:30,1:30,9:00,7:30,1:00,8:30,7:30,2:00,9:30,7:30,1:30,9:00,8:30,1:00,9:30
Grade 3,Sport,4:00,3:00,Teacher J,Sport,Yes,Sports Field,11:00,1:00,12:00,,,0:00,11:00,1:00,12:00,11:00,1:00,12:00,12:30,1:00,13:30
Grade 4,Afrikaans,4:00,4:00,Teacher C,Grade 4,Yes,Grade 4,12:00,1:00,13:00,11:30,1:30,13:00,12:00,1:00,13:00,10:00,0:30,10:30,,,0:00
Grade 4,Afrikaans,1:00,1:00,Teacher C,Grade 4,Yes,Grade 4,,,0:00,,,0:00,,,0:00,11:00,1:00,12:00,,,0:00
Grade 4,Art,1:30,0:45,Teacher L,Grade 1,Yes,Grade 4,,,0:00,,,0:00,,,0:00,,,0:00,10:30,1:30,12:00
Grade 4,Break,2:30,2:30,Teacher F,Free,Yes,Playground,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:00,0:30,10:30
Grade 4,Computers,2:00,1:00,Teacher L,Grade 5,Yes,Grade 0,,,0:00,9:30,1:00,10:30,7:30,1:00,8:30,,,0:00,,,0:00
Grade 4,Asst Computers,2:00,1:00,Teacher C,Grade 4,Yes,Grade 0,,,0:00,9:30,1:00,10:30,7:30,1:00,8:30,,,0:00,,,0:00
Grade 4,D&T,1:00,1:30,Teacher L,Grade 5,Yes,Grade 0,,,0:00,,,0:00,,,0:00,,,0:00,12:30,1:00,13:30
Grade 4,English,5:30,5:30,Teacher C,Grade 4,Yes,Grade 4,8:30,1:30,10:00,9:00,0:30,9:30,9:30,1:00,10:30,9:00,1:00,10:00,8:00,1:30,9:30
Grade 4,English,0:30,0:30,Teacher C,Grade 4,Yes,Grade 4,,,0:00,11:00,0:30,11:30,,,0:00,,,0:00,,,0:00
Grade 4,Geography,1:30,1:30,Teacher C,Grade 4,Yes,Grade 4,13:00,0:30,13:30,,,0:00,13:00,0:30,13:30,13:00,0:30,13:30,,,0:00
Grade 4,History,1:30,1:30,Teacher C,Grade 4,Yes,Grade 4,,,0:00,13:00,0:30,13:30,,,0:00,12:00,1:00,13:00,,,0:00
Grade 4,LO,1:00,1:00,Teacher C,Grade 4,Yes,Grade 4,10:00,0:30,10:30,,,0:00,,,0:00,,,0:00,9:30,0:30,10:00
Grade 4,Maths,5:30,5:30,Teacher C,Grade 4,Yes,Grade 4,7:30,1:00,8:30,7:30,1:30,9:00,8:30,1:00,9:30,7:30,1:30,9:00,7:30,0:30,8:00
Grade 4,Nat Science,2:30,2:00,Teacher C,Grade 4,Yes,Grade 4,11:00,1:00,12:00,,,0:00,11:00,1:00,12:00,,,0:00,12:00,0:30,12:30
Grade 4,Sport,4:00,3:00,Teacher J,Sport,Yes,Sports Field,13:30,1:00,14:30,13:30,1:00,14:30,13:30,1:00,14:30,13:30,1:00,14:30,,,0:00
Grade 5,Afrikaans,5:00,5:00,Teacher M,Grade 6,Yes,Grade 5,8:30,1:00,9:30,8:30,1:00,9:30,9:30,1:00,10:30,12:30,1:00,13:30,7:30,1:00,8:30
Grade 5,Art,1:30,1:30,Teacher L,Grade 1,Yes,Grade 5,,,0:00,,,0:00,,,0:00,,,0:00,12:30,1:30,14:00
Grade 5,Break,2:30,2:30,Teacher F,Free,Yes,Playground,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00,10:30,0:30,11:00
